NOMBRE,CATEGORIA_TIPOLOGIA,DOMICILIO,LATITUD,LONGITUD
SMILE ODONTOLOGIA,Con atención médica diaria y con especialidades y/o otras profesiones,MANUEL FERNANDEZ N° 774,-54.79188528885774,-68.24493884473038
CENTRO DE SALUD N°1 USHUAIA,Con atención médica diaria y con especialidades y/o otras profesiones,JUAN FACUNDO QUIROGA 2631,-54.791411243435824,-68.26634103185818
CENTRO DE SALUD N°9 USHUAIA - TTE. DE FRAGATA ELIAS TANUS,Con atención médica diaria y con especialidades y/o otras profesiones,Cabo San Pío 307,-54.787212599385015,-68.27364036138155
CONSULTORIO DEL POLO DEPORTIVO ANDORRA,Con atención médica diaria y con especialidades y/o otras profesiones,ESteban Nicolás Loncharich N° 250,-54.787208,-68.270985
CONSULTORIO ODONTOLOGICO MUNICIPAL DE USHUAIA,Con atención médica diaria y con especialidades y/o otras profesiones,"Esteban Nicolas LONCHARINCH, esquina Herminia VERA",-54.78566427524006,-68.27191496707236
CENTRO DE ATENCION PROBLEMATICAS DE CONSUMO USHUAIA,Bajo riesgo con internación simple,CONCEJAL RUBINOS DEL RIO 153,-54.685404783248266,-68.31396333368072
CONSULTORIO ODONTOLOGICO STABILE EDGAR (TOLHUIN),Con atención médica diaria y con especialidades y/o otras profesiones,RUPATTINI 511,-54.511577,-67.19282199999998
CONSULTORIO ODONTOLOGICO FERNANDEZ MARCOS RUBEN,Con atención médica diaria y con especialidades y/o otras profesiones,POLICIA FUEGUINA 85,-54.5107321,-67.19970160000003
CONSULTORIOS ODONTOLOGICOS VARGAS OLIVERA PATRICIA,Con atención médica diaria y con especialidades y/o otras profesiones,POLICIA FUEGUINA 805,-54.5107321,-67.19970160000003
PUESTO SANITARIO DR. CRISPINO LAGO ESCONDIDO,Sin atención médica en forma periódica (menor a 3 veces por semana),LAGO ESCONDIDO,-54.50792784251194,-67.18894958496094
C.A.P.S. 20 DE JUNIO,Sin atención médica en forma periódica (menor a 3 veces por semana),PARAJE 20 DE JUNIO,-54.014534,-25.67464
OPTICA DEL INSTITUTO DE SERVICIOS SOCIALES DE TIERRA DEL FUEGO,Óptica,PREFECTURA NAVAL 55,-53.82659674299411,-67.8076171875
CENTRO MEDICO MUNICIPAL SALUD N° 3,Con atención médica diaria y con especialidades y/o otras profesiones,EL ALAMBRADOR 212,-53.8058331,-67.67940670000002
CONSULTORIO MEDICO IATEC,Con atención médica diaria y con especialidades y/o otras profesiones,SARMIENTO 2950,-53.804080269642135,-67.73259043693542
CENTRO DE SALUD N°3 RIO GRANDE - DR. TOMAS GONZALEZ,Con atención médica general por lo menos 3 días de la semana,KARUKINKA Y OROSKI,-53.802614,-67.65992499999999
CENTRO MEDICO MUNICIPAL N°2 CHACRA XIII,Con atención médica diaria y con especialidades y/o otras profesiones,HERMANA ANTONIETA TAPPARELLO N° 389,-53.801713,-67.75104699999997
CENTRO ASISTENCIAL TOLHUIN,Bajo riesgo con internación simple,AVENIDA DE LOS SHELKNAM 243,-53.80158860497378,-67.66286373138428
CONSULTORIO MEDICO RADIO VICTORIA,Con atención médica diaria y con especialidades y/o otras profesiones,MONTEVIDEO 789,-53.80142129999999,-67.72886540000002
CONSULTORIOS ELECTRO FUEGUINA,Con atención médica general por lo menos 3 días de la semana,Doctor Carlos Saavedra Lamas 1370,-53.8013662,-67.74158799999998
CONSULTORIO MEDICO ACSUR SA,Con atención médica diaria y con especialidades y/o otras profesiones,25 DE MAYO 2753,-53.79910479999999,-67.73097330000002
CENTRO DE SALUD N°6 RIO GRANDE - HILDA PAREDES,Con atención médica diaria y con especialidades y/o otras profesiones,PADRE MUÑOZ 1116,-53.7990684,-67.68682419999999
CONSULTORIO MEDICO DIGITAL FUEGUINA SA,Con atención médica diaria y con especialidades y/o otras profesiones,Combate de Montevideo Nº 1141,-53.7990599,-67.73346889999999
CONSULTORIO MEDICO BGH S.A,Con atención médica diaria y con especialidades y/o otras profesiones,ISLAS MALVINAS 2943,-53.7987349,-67.74126330000001
CONSULTORIO MEDICO MIRGOR,Con atención médica diaria y con especialidades y/o otras profesiones,EINSTEIN 1111,-53.796147,-67.72935089999999
UNIDADES SANITARIAS MOVILES,Unidades de Atención Móviles,Pasaje Viqueira 20,-53.7959608,-67.70356809999998
CONSULTORIO MEDICO CYC,Con atención médica diaria y con especialidades y/o otras profesiones,OSCAR SMITH 828,-53.795846,-67.68711300000001
GABINETE DE PSICOLOGIA CYNTHIA ELIZABETH CARABAJAL,Centro de salud mental,FRAY MAMERTO ESQUIU 74,-53.79575639999999,-67.69922680000002
CONSULTORIO MEDICO CARRIER FUEGUINA S.A,Con atención médica diaria y con especialidades y/o otras profesiones,RUTA 3 KM 2832,-53.795153,-67.73669999999998
CONSULTORIO CENTRO DE JUBILADOS PENSIONADOS Y RETIRADOS LEY 244,Con atención médica general por lo menos 3 días de la semana,Bernardo O Higgins 570,-53.79506688662023,-67.68787130713463
CONSULTORIO MEDICO Y ODONTOLOGICO DE CAMIONEROS,Con atención médica general por lo menos 3 días de la semana,THORNE 1875,-53.794659,-67.71116699999999
GABINETE DE KINESIOLOGIA EMILIANO MORENO,Centro Rehabilitación motora,BELGRANO 1815,-53.794346,-67.7144968
GABINETE DE PSICOLOGIA BARBARA TOKAR,Centro de salud mental,OHIGGINS 351,-53.793783,-67.69009800000003
CENTRO DE SALUD N°2 RIO GRANDE - DR. ERNESTO LOFFLER,Con atención médica diaria y con especialidades y/o otras profesiones,9 DE JULIO 1279,-53.79352809322997,-67.70230293273926
CENTRO DE SALUD N°1 RIO GRANDE - DR. JOAQUIN GOYTISOLO,Con atención médica diaria y con especialidades y/o otras profesiones,THORNE 2005,-53.7935211,-67.72054700000001
GABINETE DE KINESIOLOGIA FLORENCIA RASGUIDO,Centro Rehabilitación motora,LIBERTAD 1162,-53.7934977,-67.70024899999999
CONSULTORIO MEDICO NELIDA BEATRIZ NOTO,Con atención médica diaria y con especialidades y/o otras profesiones,CARLOS ALBERTO LISA 2338,-53.7928811,-67.7296647
CONSULTORIO MEDICO ROCHA PEDRO,Con atención médica diaria y con especialidades y/o otras profesiones,BEAUVOIR 316,-53.7927349,-67.68918550000001
GABINETE DE PSICOLOGIA MARIA BELEN MONACO,Centro de salud mental,RENE FAVALORO 53,-53.792494,-67.72251799999998
HOSPITAL DE DIA REENCONTRANDONOS,Con atención médica general por lo menos 3 días de la semana,Antartida Argentina Nº 860,-53.792438,-67.693938
CENTRO DE DIA ( EX CPA),Con atención médica general por lo menos 3 días de la semana,INTEVU 12 CASA 95,-53.791626803353246,-67.71208763122559
CONSULTORIO ODONTOLOGICO PEREZ VERONICA ANDREA,Con atención médica diaria y con especialidades y/o otras profesiones,FAGNANO 1182,-53.791371,-67.70483209999999
CONSULTORIO MEDICO JORGE NERI ARAUJO HERNANDEZ,Con atención médica diaria y con especialidades y/o otras profesiones,LIBERTAD 896,-53.7913145,-67.69711760000001
GABINETE DE KINESIOLOGIA OSCAR NICOLAS LEDO,Centro Rehabilitación motora,ESPORA 1058,-53.7911551,-67.70177819999998
CONSULTORIO ODONTOLOGICO KNAUPE MAGALI,Con atención médica diaria y con especialidades y/o otras profesiones,9 DE JULIO 970,-53.791152,-67.69948590000001
CONSULTORIO ODONTOLOGICO MARTIN PABLO,Con atención médica diaria y con especialidades y/o otras profesiones,FAGNANO 1182,-53.791152,-67.69948590000001
CONSULTORIOS MEDICOS SUTEF,Con atención médica diaria y con especialidades y/o otras profesiones,FAGNANO 1145,-53.7911198,-67.70443999999998
CONSULTORIO MEDICO BRIGHSTAR FUEGUINA SA,Con atención médica diaria y con especialidades y/o otras profesiones,ISLAS MALVINAS 2150,-53.7910184,-67.73007159999997
ATENCION DOMICILIARIA DE ENFERMERIA CLAUDIO EDUARDO MEDINA,Otros,LIBERTAD 898,-53.7909011,-67.6971922
CENTRO MEDICO  CEDMA,Con atención médica general por lo menos 3 días de la semana,11 DE JULIO 759,-53.7908086,-67.6940214
GABINETE DE KINESIOLOGIA PERFIL,Centro Rehabilitación motora,THORNE 1540,-53.7903075,-67.7158647
CENTRO DE SALUD N°7 RIO GRANDE - SOLAR DE LA LAGUNA,Con atención médica diaria y con especialidades y/o otras profesiones,FACUNDO QUIROGA 2142,-53.79025782127838,-67.73277282714844
GABINETE PSICOLOGICO CLAUDIA INES GARCIA,Centro de salud mental,ALMAFUERTE 975,-53.7901975,-67.71754599999997
CENTRO MEDICO UNION OBREROS Y EMPLEADOS DE PLASTICO,Con atención médica diaria y con especialidades y/o otras profesiones,25 DE MAYO 1611,-53.7901089,-67.71798819999998
CONSULTORIO ODONTOLOGICO ROSSO CRISTIAN MAURO,Con atención médica diaria y con especialidades y/o otras profesiones,JOSE M. ESTRADA 1395,-53.79000192441829,-67.7128654718399
DM PROVIDERS,Otros,ALBERDI 297,-53.78982449999999,-67.70010309999998
CENTRO MEDICO UOM,Con atención médica diaria y con especialidades y/o otras profesiones,CARLOS MOYANO 417,-53.7897905,-67.7029627
CONSULTORIO ODONTOLOGICO MULLER GABRIEL,Con atención médica diaria y con especialidades y/o otras profesiones,RICARDO LUIS SICA 1698,-53.7897638,-67.7236643
CENTRO DE IMAGENES MEDICAS,Diagnostico por Imágenes,CARLOS MOYANO 431,-53.789693,-67.70315470000003
LABORATORIO RG MEDICINA OCUPACIONAL (AYALA),Laboratorio de Análisis Clínicos,25 DE MAYO 1539,-53.7896106,-67.71724970000002
CONSULTORIO MEDICO RG SALUD OCUPACIONAL,Con atención médica diaria y con especialidades y/o otras profesiones,25 de Mayo 1539,-53.7896106,-67.71724970000002
CENTRO INTEGRAL DE SALUD,Con atención médica diaria y con especialidades y/o otras profesiones,ESTRADA 1326,-53.789606,-67.71253300000001
CONSULTORIO MEDICO ACHAGA MARIA BEATRIZ,Con atención médica diaria y con especialidades y/o otras profesiones,MOYANO 456,-53.78952630000001,-67.7035118
OPTICA LOPEZ,Óptica,PERITO MORENO 228,-53.7894426,-67.69806749999998
CENTRO MEDICO INTEGRAL DE SALUD,Con atención médica diaria y con especialidades y/o otras profesiones,ESTRADA 1326,-53.789386,-67.71218599999997
CONSULTORIO ODONTOLOGICO ROSSO CLAUDIA MARISA,Con atención médica diaria y con especialidades y/o otras profesiones,MOSCONI 993,-53.7893704,-67.7167255
CONSULTORIO MEDICO VIZZARRO JORGE FEDERICO,Con atención médica diaria y con especialidades y/o otras profesiones,SAN MARTIN 123,-53.7892062,-67.69486369999998
CENTRO MEDICO MAMA MARGARITA  ANEXO 1,Con atención médica diaria y con especialidades y/o otras profesiones,MOSCONI 1087,-53.7889585,-67.7180213
CONSULTORIO ODONTOLOGICO MANZONI MARIA GRACIELA,Con atención médica diaria y con especialidades y/o otras profesiones,MOYANO 588,-53.788588,-67.7053565
CENTRO DE REHABILITACION MAMA MARGARITA,Otros,DON BOSCO 1489,-53.7885405,-67.71809439999998
OPTICA AUTRAL,Óptica,9 DE JULIO 661,-53.7882907,-67.6955673
CONSULTORIOS ODONTOLOGICOS HEREDIA ELIANA  Y MARCOS MAERO,Con atención médica diaria y con especialidades y/o otras profesiones,VENUS VIDELA 134,-53.7882004,-67.73046679999999
CONSULTORIO MEDICO FAMAR FUEGUINA SA,Con atención médica diaria y con especialidades y/o otras profesiones,FORGACS 1522,-53.7881598,-67.71964100000002
GABINETE DE KINESIOLOGIA EDUARDO GUAYMAS ACOSTA,Centro Rehabilitación motora,ALBERDI 556,-53.7879853,-67.70372429999998
LABORATORIO DE ANALISIS CLINICOS (FALON),Laboratorio de Análisis Clínicos,Juan Bautista Alberdi 582,-53.7878297,-67.70412980000003
CENTRO MEDICO SUTEF,Con atención médica diaria y con especialidades y/o otras profesiones,FEDERICO ECHELAINE 715,-53.787605,-67.74295000000001
CONSULTORIO ODONTOLOGICO BAFFI RODOLFO,Con atención médica diaria y con especialidades y/o otras profesiones,MOYANO 723,-53.7874774,-67.7075165
CENTRO ODONTOLOGICO CENTRO DE EMPLEADOS DE COMERCIO,Con atención médica general por lo menos 3 días de la semana,MOYANO 760,-53.787247,-67.70807049999996
CONSULTORIO MEDICO EN NATATORIO MUNICIPAL,Con atención médica diaria y con especialidades y/o otras profesiones,ALBERDI 645,-53.7872216,-67.7052271
OPTICA RIO GRANDE,Óptica,CMTE. T. ESPORA 585,-53.7869522,-67.6961053
GABINETE KINESIOLOGIA WALTER RETAMAL,Centro Rehabilitación motora,ESTRADA 983,-53.7868,-67.70840699999997
ESCUADRON 62 RIO GRANDE - GENDARMERIA NACIONAL ARGENTINA,Otros,BELGRANO 809,-53.7866904,-67.7037627
CONSULTORIO ODONTOLOGICO MARTINEZ ESTEBAN ADRIAN,Con atención médica diaria y con especialidades y/o otras profesiones,RIVADAVIA 683,-53.7865567,-67.6997255
GABINETE DE KINESIOLOGIA CARINA PAMELA FLORES,Centro Rehabilitación motora,RIVADAVIA 683,-53.7863734,-67.69997260000002
CONSULTORIO OFTALMOLOGICO VICTOR BARRIENTOS,Con atención médica diaria y con especialidades y/o otras profesiones,RIVADAVIA 683,-53.7863734,-67.69997260000002
CONSULTORIO ODONTOLOGICO GIUGA SALVADOR GUSTAVO,Con atención médica diaria y con especialidades y/o otras profesiones,THORNE 1005,-53.78631189999999,-67.71000179999999
CONSULTORIO ODONTOLOGICO NIEVA NORA ISABEL,Con atención médica diaria y con especialidades y/o otras profesiones,LASERRE 44,-53.786177,-67.692294
CONSULTORIO ODONTOLOGICO FERNANDO GABRIEL SALDIVIA,Con atención médica diaria y con especialidades y/o otras profesiones,ROSALES 437,-53.7861178,-67.69807329999999
OPTICA  LA OPTICA,Óptica,Perito Moreno 687,-53.7860294,-67.70452749999998
GABINETE PSICOLOGICO CARLOS JAVIER MOR,Centro de salud mental,BELGRANO 711,-53.7859245,-67.70219399999996
CONSULTORIO MEDICO AEROPUERTO ARGENTINA 2000,Con atención médica diaria y con especialidades y/o otras profesiones,AEROPUERTO DE RIO GRANDE,-53.7857113,-67.75326660000002
CONSULTORIO MEDICO RIO CHICO,Con atención médica diaria y con especialidades y/o otras profesiones,SAN LORENZO 67,-53.7853618,-67.72420290000002
CONSULTORIO ODONTOLOGICO  TRENTO GERARDO NICOLAS,Con atención médica diaria y con especialidades y/o otras profesiones,DON BOSCO 1056,-53.78530809999999,-67.71338689999999
GABINETE DE PSICOLOGIA BARRIONUEVO - BENCHIMOL,Centro de salud mental,SAN MARTIN 676,-53.785248,-67.7031399
