NOMBRE,LATITUD,LONGITUD
CONSULTORIO CENTRO DE JUBILADOS PENSIONADOS Y RETIRADOS LEY 244,-53.79506688662023,-67.68787130713463
CONSULTORIO MEDICO Y ODONTOLOGICO DE CAMIONEROS,-53.794659,-67.71116699999999
GABINETE DE KINESIOLOGIA EMILIANO MORENO,-53.794346,-67.7144968
GABINETE DE PSICOLOGIA BARBARA TOKAR,-53.793783,-67.69009800000003
GABINETE DE KINESIOLOGIA FLORENCIA RASGUIDO,-53.7934977,-67.70024899999999
CONSULTORIO MEDICO NELIDA BEATRIZ NOTO,-53.7928811,-67.7296647
CONSULTORIO MEDICO ROCHA PEDRO,-53.7927349,-67.68918550000001
GABINETE DE PSICOLOGIA MARIA BELEN MONACO,-53.792494,-67.72251799999998
HOSPITAL DE DIA REENCONTRANDONOS,-53.792438,-67.693938
CONSULTORIO ODONTOLOGICO PEREZ VERONICA ANDREA,-53.791371,-67.70483209999999
CONSULTORIO MEDICO JORGE NERI ARAUJO HERNANDEZ,-53.7913145,-67.69711760000001
GABINETE DE KINESIOLOGIA OSCAR NICOLAS LEDO,-53.7911551,-67.70177819999998
CONSULTORIO ODONTOLOGICO KNAUPE MAGALI,-53.791152,-67.69948590000001
CONSULTORIO ODONTOLOGICO MARTIN PABLO,-53.791152,-67.69948590000001
CONSULTORIOS MEDICOS SUTEF,-53.7911198,-67.70443999999998
CONSULTORIO MEDICO BRIGHSTAR FUEGUINA SA,-53.7910184,-67.73007159999997
ATENCION DOMICILIARIA DE ENFERMERIA CLAUDIO EDUARDO MEDINA,-53.7909011,-67.6971922
CENTRO MEDICO  CEDMA,-53.7908086,-67.6940214
GABINETE DE KINESIOLOGIA PERFIL,-53.7903075,-67.7158647
GABINETE PSICOLOGICO CLAUDIA INES GARCIA,-53.7901975,-67.71754599999997
CENTRO MEDICO UNION OBREROS Y EMPLEADOS DE PLASTICO,-53.7901089,-67.71798819999998
CONSULTORIO ODONTOLOGICO ROSSO CRISTIAN MAURO,-53.79000192441829,-67.7128654718399
DM PROVIDERS,-53.78982449999999,-67.70010309999998
CENTRO MEDICO UOM,-53.7897905,-67.7029627
CONSULTORIO ODONTOLOGICO MULLER GABRIEL,-53.7897638,-67.7236643
CENTRO DE IMAGENES MEDICAS,-53.789693,-67.70315470000003
LABORATORIO RG MEDICINA OCUPACIONAL (AYALA),-53.7896106,-67.71724970000002
CONSULTORIO MEDICO RG SALUD OCUPACIONAL,-53.7896106,-67.71724970000002
CENTRO INTEGRAL DE SALUD,-53.789606,-67.71253300000001
CONSULTORIO MEDICO ACHAGA MARIA BEATRIZ,-53.78952630000001,-67.7035118
OPTICA LOPEZ,-53.7894426,-67.69806749999998
CENTRO MEDICO INTEGRAL DE SALUD,-53.789386,-67.71218599999997
CONSULTORIO ODONTOLOGICO ROSSO CLAUDIA MARISA,-53.7893704,-67.7167255
CONSULTORIO MEDICO VIZZARRO JORGE FEDERICO,-53.7892062,-67.69486369999998
CONSULTORIO ODONTOLOGICO MANZONI MARIA GRACIELA,-53.788588,-67.7053565
OPTICA AUTRAL,-53.7882907,-67.6955673
CONSULTORIOS ODONTOLOGICOS HEREDIA ELIANA  Y MARCOS MAERO,-53.7882004,-67.73046679999999
CONSULTORIO MEDICO FAMAR FUEGUINA SA,-53.7881598,-67.71964100000002
GABINETE DE KINESIOLOGIA EDUARDO GUAYMAS ACOSTA,-53.7879853,-67.70372429999998
LABORATORIO DE ANALISIS CLINICOS (FALON),-53.7878297,-67.70412980000003
CENTRO MEDICO SUTEF,-53.787605,-67.74295000000001
CONSULTORIO ODONTOLOGICO BAFFI RODOLFO,-53.7874774,-67.7075165
CENTRO ODONTOLOGICO CENTRO DE EMPLEADOS DE COMERCIO,-53.787247,-67.70807049999996
OPTICA RIO GRANDE,-53.7869522,-67.6961053
GABINETE KINESIOLOGIA WALTER RETAMAL,-53.7868,-67.70840699999997
CONSULTORIO ODONTOLOGICO MARTINEZ ESTEBAN ADRIAN,-53.7865567,-67.6997255
GABINETE DE KINESIOLOGIA CARINA PAMELA FLORES,-53.7863734,-67.69997260000002
CONSULTORIO OFTALMOLOGICO VICTOR BARRIENTOS,-53.7863734,-67.69997260000002
CONSULTORIO ODONTOLOGICO GIUGA SALVADOR GUSTAVO,-53.78631189999999,-67.71000179999999
CONSULTORIO ODONTOLOGICO NIEVA NORA ISABEL,-53.786177,-67.692294
CONSULTORIO ODONTOLOGICO FERNANDO GABRIEL SALDIVIA,-53.7861178,-67.69807329999999
OPTICA  LA OPTICA,-53.7860294,-67.70452749999998
GABINETE PSICOLOGICO CARLOS JAVIER MOR,-53.7859245,-67.70219399999996
CONSULTORIO MEDICO AEROPUERTO ARGENTINA 2000,-53.7857113,-67.75326660000002
CONSULTORIO MEDICO RIO CHICO,-53.7853618,-67.72420290000002
CONSULTORIO ODONTOLOGICO  TRENTO GERARDO NICOLAS,-53.78530809999999,-67.71338689999999
GABINETE DE PSICOLOGIA BARRIONUEVO - BENCHIMOL,-53.785248,-67.7031399
OPTICA VENTUS,-53.7851601,-67.69698760000001
OPTICAS DEL SUR,-53.7850574,-67.70021759999997
CONSULTORIO ODONTOLOGICO LLIPIHUAL NURIA,-53.7848519,-67.7098848
CONSULTORIO ODONTOLOGICO SOLER SANDRA,-53.7848519,-67.7098848
OPTICA VISIONLAB,-53.784843,-67.70001500000001
CONSULTORIO MEDICO PERSONAL GIM,-53.7848286,-67.70693740000002
SERVICIO DE TRASLADOS SANITARIOS Y/OATENCION DE EMERGENCIA MEDICO ASISTENCIALES MEDICAL SUR,-53.7846833,-67.70249319999999
CENTRO MEDICO MEDICAL SUR,-53.78468002510439,-67.70238876342773
CENTRO DE REHABILITACION DE ADICCIONES KAU PHA KEN,-53.7845673,-67.71041379999997
CONSULTORIO MEDICO RAUL MALTEZ,-53.78456139999999,-67.70513699999998
CONSULTORIO ODONTOLOGICO ROMERO BERNARDO,-53.78456139999999,-67.70513699999998
OPTICA 10,-53.7844966,-67.69730229999999
GABINETE DE PSICOLOGIA ANABEL PEÑALOZA,-53.7842984,-67.71096319999998
CONSULTORIO MEDICO FAPESA,-53.7838542,-67.71971200000002
GABINETE DE KINESIOLOGIA DANIELA SALDIVIA,-53.7837314,-67.71490599999998
CONSULTORIO MEDICO ALICIA OLLER,-53.7837314,-67.71490599999998
OPTICA LOPEZ 1 (SAN MARTIN),-53.7836121,-67.70593689999998
CONSULTORIO ODONTOLOGICO PEÑA ROMERO AMERICO,-53.783561,-67.708483
CONSULTORIO ODONTOLOGICO PEREZ MARIA BETTY,-53.783561,-67.708483
GABINETES KINESIOLOGICO FRANCO ROSSI BONGIORNO,-53.7834862,-67.69323910000003
GABINETE DE KINESIOLOGIA WALTER SARA,-53.7832178,-67.71873449999998
CONSULTORIO ODONTOLOGICO MARSAL ELENA,-53.7828583,-67.7002632
CENTRO MEDICO CEDYT,-53.78284499999999,-67.7014427
LABORATORIO DE ANALISIS CLINICOS (SALVA),-53.7827292,-67.71387440000001
CONSULTORIO ODONTOLOGICO TITON SANDRA,-53.7826995,-67.69924750000001
GABINETE DE PSICOLOGIA GISELA LANGHI,-53.782037,-67.70147800000001
CONSULTORIO ODONTOLOGICO CASTRO GRAÑA ANA LAURA,-53.7819889,-67.7012812
CONSULTORIO ODONTOLOGICO COCCARO MARIA SOLEDAD,-53.78108349999999,-67.6976458
CONSULTORIOS MEDICOS TECNOMIL,-53.7796171,-67.7135116
CONSULTORIO ODONTOLOGICO QUINTERO IVAN RODOLFO,-53.7745615,-67.7086549
CONSULTORIO ODONTOLOGICO SCATTONE MARIA DEL CARMEN,-53.7744823,-67.73153030000003
GABINETE KINESIOLOGICO ARIEL ALBERTO ALFONSO,-53.7741388,-67.71559049999996
LABORATORIO DE ANALISIS CLINICO (CAROSSIO),-53.7735132,-67.71445560000001
GABINETE DE KINESIOLOGIA VAZQUEZ Y ZAPATIELO,-53.7733072,-67.70683099999997
CONSULTORIOS ODONTOLOGICOS GORDILLO KARINA Y MARIO,-53.77319130000001,-67.7090685
LABORATORIO DE ANALISIS CLINICOS BERTHA MARUSIA URQUIZO CERECEDA,-53.7731357,-67.72061289999999
MEGA NUTRICION SPA,-53.77305639999999,-67.7098368
CENTRO MEDICO PRIVADO DR. MIRANDA,-53.7723853,-67.7192364
CENTRO MEDICO PELLEGRINI,-53.77226020000001,-67.72238060000001
GABINETE DE PSICOLOGIA PAOLA CIELO LOPEZ,-53.77198629999999,-67.7091001
GABINETE DE PSICOLOGIA NORBERTO MONZANI,-53.7715817,-67.71269699999999
CONSULTORIO ODONTOLOGICO  CHAPITEL LUIS ALBERTO,-53.7710014,-67.70929469999999
CONSULTORIO MEDICO RAUSCH RAUL GERONIMO,-53.7709726,-67.70504030000001
CENTRO MEDICO VIEDMA,-53.7706436,-67.71452569999997
GABINETE DE PSICOLOGIA RUBEN OSCAR GUTIERREZ,-53.7705413,-67.7076209
CONSULTORIO ODONTOLOGICO FRANCHI ROSANA MONICA,-53.7705249,-67.7188631
CONSULTORIO ODONTOLOGICO GALINOSKI MARCELA ANAHI,-53.7705166,-67.70990080000001
CENTRO MEDICO MEDICI,-53.77020659999999,-67.70881989999998
CLINICA DEL SANATORIO FUEGUINO DE DIAGNOSTICO Y TRATAMIENTO,-53.7699361,-67.70917170000001
OPTICA X-VISION,-53.769903,-67.70924000000002
GABINETE DE PSICOLOGIA ROMINA MARIEL SALDAÑA,-53.7695213,-67.71676000000002
LABORATORIO DE PROTESIS DENTAL SABRINA NATALIA ROBLEDO COLINO,-53.769467,-67.70946640000001
CONSULTORIO ODONTOLOGICO AVALOS SANTOS RAFAEL,-53.7694389,-67.70952139999997
CONSULTORIO MEDICO CARLOS ROBERTO VELIZ,-53.7694389,-67.7095214
CONSULTORIO ODONTOLOGICO TORRES SOTELO CRISTIAN GABRIEL,-53.7692638,-67.72464660000003
GABINETE DE FONOAUDIOLOGIA Y PSICOLOGIA GIORGIUTTI MARIA GABRIELA,-53.7691534,-67.71196850000001
GABINETE DE KINESIOLOGIA MARIA IVANA LORENZ,-53.76913159999999,-67.71647389999998
GABINETE DE PSICOLOGIA RENATA VANONI,-53.7687039,-67.71419930000002
"GABINETES DE PSICOLOGIA, FONOAUDIOLOGIA Y PSICOPEDAGOGIA LORENA BOSCHETTI",-53.7686819,-67.71822739999999
CONSULTORIO MEDICO CONSTANZA CAMARGO,-53.7683466,-67.71534529999997
CONSULTORIO MEDICO GIANOTTI MARIO HECTOR,-53.768302,-67.73160140000005
CONSULTORIO MEDICO VACCARO MARIA ESMERALDA,-53.7682314,-67.71512259999997
CONSULTORIO ODONTOLOGICO CARDENAS MARIA ANGELICA,-53.7682314,-67.71512259999997
GABINETES DE KINESIOLOGIA CARLOS ALBERTO RIVAROLA,-53.7679647,-67.71421240000001
CONSULTORIO MEDICO RIVAROLA MARIA LUISIANA,-53.7679647,-67.71421240000001
CONSULTORIO ODONTOLOGICO CLEMENTI JORGE,-53.7668178,-67.71738249999999
CONSULTORIO ODONTOLOGICO DEL POPOLO BIBIANA DANIELA,-53.7667209,-67.7143403
CENTRO DE SALUD NATALIA VANESA MARTIN,-53.7666522,-67.7139311
ABC VENTA DE EQUIPAMIENTOS Y PRODUCTOS MEDICOS Y DE LABORATORIO,-53.7664285,-67.73020079999998
CLINICA DE ESPECIALIDADES MEDICAS PRIVADA (CEMEP),-53.766114,-67.71223900000001
CONSULTORIOS ODONTOLOGICOS MENENDEZ DIEGO- VERGARA DANIELA,-53.76604270000001,-67.71098610000001
CENTRO IMAGENES DEL SUR CIM,-53.7660397,-67.71204109999996
OPTICAS DEL SUR 1,-53.7656167,-67.71272829999998
ORTOPEDIA PEÑARANDA,-53.76412639999999,-67.72554430000002
CONSULTORIOS ODONTOLOGICOS DIAZ DAMIAN,-53.7637574,-67.7190142
GABINETE DE FONOAUDIOLOGIA MONICA OROZ SALDIVIA,-53.7624735,-67.72712839999997
CONSULTORIO ODONTOLOGICO SALGADO CAROLINA OBDULIA,-53.7621112,-67.7262977
CONSULTORIO MEDICO LIFETIME,-53.760217,-67.72653930000001
CONSULTORIO ODONTOLOGICO GODOY NATALIA,-53.75841,-67.7254772
CONSULTORIO MEDICO TOTAL AUSTRAL,-52.741465,-68.57327600000002
ASOCIACION ANGELES ESPECIALES,-51.65376831040036,-69.26721096038818
GABINETE DE KINESIOLOGIA - SINERGIA,-51.643424,-69.21884999999997
GABINETE DE ENFERMERIA CENTRO DE JUBILADOS LA AMISTAD,-51.640422,-69.22811000000002
GABINETE DE KINESIOLOGIA KINESIS,-51.6373946,-69.2184603
LABORATORIO PREXA SALUD II,-51.63471,-69.212661
C.P.A. - CONSULTORIO MEDICO - DR. LABRIN,-51.6317201,-69.21593589999998
VEDA,-51.63163249999999,-69.2082463
C.P.A. - CONSULTORIO MEDICO DERMATOLOGICO  (DRA STELLA MARIS MARQUEZ),-51.631415,-69.21515999999997
CENTRO MEDICO ASHER,-51.63008319999999,-69.21429040000001
CONSULTORIO MEDICO DR JAVIER LERENA,-51.6287627,-69.19794819999998
LIGA ARGENTINA DE LUCHA CONTRA EL CANCER - LALCEC,-51.6276425,-69.22104819999998
ATI ATENCION TERAPEUTICA INTEGRAL,-51.627304,-69.21287000000001
POLICLINICO DEL ATLANTICO SUR,-51.62730179727799,-69.2090392112732
LABORATORIOS DE ANALISIS CLINICOS Y BACTERIOLOGICOS - RIO GALLEGOS,-51.6272223,-69.21055000000001
GABINETE DE KINESIOLOGIA - RECUPERATE SALUD,-51.627188573984455,-69.2084276676178
CENTRO DE MEDICINA LABORAL PARA EMPRESAS - MEPEM,-51.627135292336796,-69.23704147338867
CONSULTORIO MEDICO OFTALMOLOGICO DR. LANGERMAN,-51.627048,-69.20947999999999
GABINETE DE KINESIOLOGIA Y FISIOTERAPIA OGGI,-51.626886,-69.21235999999999
GABINETE DE KINESIOLOGIA Y FISIOTERAPIA (DIAZ SILVANA BEATRIZ),-51.6267434,-69.22916839999999
LABORATORIO DE ANALISIS CLINICOS Y LABORALES,-51.62636726008432,-69.20625108694232
CENTRO DE TRATAMIENTO CENTA,-51.62622033677997,-69.24863398075104
SERVICIO DE RAYOS X DR. WOLL,-51.626089627336995,-69.2089319229126
CENTRO PRIVADO DE RESONANCIA MAGNETICA (DR AVILA ),-51.626089,-69.20846
GABINETE DE KINESIOLOGIA Y FISIOTERAPIA - RAMON EMILIO FLORES,-51.62606359999999,-69.21763369999996
GABINETE DE KINESIOLOGIA KINE VITAL,-51.625904,-69.22397999999998
CENTRO MEDICO SEMCO (OSECAC) EMPLEADOS DE COMERCIO,-51.6256604,-69.20945449999999
CONSULTORIOS DE FONOAUDIOLOGIA- PEDIATRIA-KINESIOLOGIA - AIKEN,-51.62547970000001,-69.22527120000001
CENTRO MEDICO DE TRAUMATOLOGIA Y ORTOPEDIA (DR. BALARINO),-51.624771168435956,-69.21438485383987
GABINETE DE KINESIOLOGIA Y FISIOTERAPIA (POGGIESE ERNESTO),-51.624087,-69.21103169999998
GABINETE DE ENFERMERIA UNIVERSIDAD NACIONAL DE LA PATAGONIA AUSTRAL U.N.P.A.,-51.6239469,-69.24644109999997
CONSULTORIO MEDICO - SERVICIO DE RAYOS X (DR. ZALAZAR),-51.62392939999999,-69.20706280000002
CONSULTORIO OFTALMOLOGICO  (DR MURO DR PEÑALOZA ),-51.62392939999999,-69.20706280000002
CONSULTORIOS MEDICOS - CAJA DE SERVICIOS SOCIALES,-51.62392269999999,-69.20215009999998
JUAN CARLOS SCHIEDA,-51.623585261591224,-69.2072582244873
C.P.A. - CONSULTORIO MEDICO  DR. MARGA FAVARETTO,-51.6235694,-69.21393060000003
CONSULTORIO DE IMAGENES DRA MARISA OZUNA,-51.6232216,-69.21928960000002
POLICONSULTORIO 1  DE MAYO,-51.622945826907994,-69.21502590179443
LABORATORIO MICROLAB,-51.622785,-69.22465
C.P.A. - CONSULTORIO MEDICO OFTALMOLOGICO DRA. VELTRINI,-51.622119877105206,-69.22854423522949
CENTRO DE DIALISIS DIALCOR S.R.L.,-51.622093,-69.22465
LABORATORIOS DE ANALISIS CLINICOS Y BACTERIOLOGICOS - L.A.B.,-51.621768,-69.22073999999998
OBRA SOCIAL DEL PERSONAL DE LA CONSTRUCCION (O.S.PE.CON),-51.62155689999999,-69.2121631
UDEM EMERGENCIAS MEDICAS,-51.621421,-69.2103371
LABORATORIO CENTRAL,-51.621396,-69.21257000000003
CENTRO MEDICO OBRA SOCIAL DE CONDUCTORES CAMIONEROS Y PERSONAL DEL TRANSPORTE AUTOMOTOR DE CARGAS,-51.6210973,-69.22320059999998
GABINETE DE ENFERMERIA ASOCIACION DE JUBILADOS Y PENSIONADOS DE Y.P.F.,-51.620958,-69.21046999999999
OPTICA CENTRO OPTICO AUSTRAL,-51.620895,-69.21671
OPTICA GUIDO,-51.6206624,-69.2204959
OPTICA GALLEGOS,-51.620474,-69.21593999999999
OPTICA DEL SOL,-51.620026,-69.21762999999999
CONSULTORIO MEDICO ESPERANZA,-51.619927,-69.2108
CENTRO DE DIAGNOSTICO POR IMAGENES CEDIMAG,-51.6198822,-69.22186169999998
COSULTORIO MEDICO - DRA. MENDEZ,-51.6197123,-69.22530080000001
CENTRO MEDICO QUIRURGICO RIO GALLEGOS,-51.6196245,-69.20840820000001
CENTRO MEDICO SAN JUAN BOSCO,-51.619498,-69.21244000000002
LABORATORIOS DE ANALISIS CLINICOS Y BACTERIOLOGICOS - SAN JUAN BOSCO,-51.619339,-69.21226000000001
SANTA CRUZ VISION,-51.619143,-69.21440000000001
GABINETE DE KINESIOLOGIA Y FISIOTERAPIA - GALENO S.H.,-51.61859579999999,-69.2116259
LABORATORIO PREXA,-51.61859,-69.22050100000001
C.P.A. - CONSULTORIO MEDICO DRA. STIRNEMANN,-51.618273,-69.21782000000002
GABINETE DE KINESIOLOGIA Y FISIOTERAPIA - RICARDO FINCHEL,-51.618189748703074,-69.2104983329773
CLUB DE LEONES,-51.61777673239562,-69.21472549438477
SERVICIO DE TRASLADO MEDICO - SERVICOM S.R.L,-51.617371,-69.26785999999998
C.P.A. - CONSULTORIO MEDICO ROSENDE CARLOS,-51.6168405,-69.21934770000001
GABINETE DE KINESIOLOGIA Y FISIOTERAPIA - INSTITUTO DE KINESIOLOGIA,-51.6168025,-69.21833349999997
CENTRO DERMATOLOGICO Y ESTETICA,-51.616445,-69.21564000000001
C.P.A. - CONSULTORIO MEDICO DR. MORENO,-51.6162779,-69.2132158
GABINETE DE KINESIOLOGIA - CDK,-51.6162,-69.21310800000003
CENTRO INTEGRAL DEL NIÑO Y DEL ADOLESCENTE (CINAD),-51.6158969,-69.2183713
SERVICIO DE MEDICINA LABORAL,-51.61588480320269,-69.21863079071045
MEDICINA LABORAL DR. ZALAZAR (CINAD),-51.61584,-69.21851100000003
CENTRO MEDICO,-51.6153857,-69.2251546
CENTRO RENE VARGA APPADI,-51.614922,-69.21834999999999
C.P.A. - CONSULTORIO MEDICO C SERVICIO DE DESNSITOMETRIA  (DR PEREZ VILA),-51.614501,-69.22235
GABINETE DE KINESIOLOGIA Y FISIOTERAPIA I KEU KENK,-51.61432989999999,-69.22774930000003
CIREK  GABINETE DE KINESIOLOGIA,-51.583115,-72.21108200000003
CONSULTORIO DE NUTRICION    NUTRIDIET,-51.582973,-72.21109000000001
C.P.A. - CONSULTORIO MEDICO DR. LOVERA,-51.539151,-72.33808999999997
LABORATORIO DE ANALISIS CLINICOS -  LABSUR S.A.,-51.538656,-72.33927
OPTICA IMPULSO,-51.5383395,-72.33643669999998
OPTICA ROMY II,-51.537449,-72.33551
CEDIMAG RIO TURBIO,-51.5372373,-72.339
POLICONSULTORIOS PRIVADOS,-50.3410947,-72.25945439999998
LABORATORIO DE ANALISIS CLINICOS TICONA,-50.3408058,-72.2671444
LABORATORIO DE ANALISIS CLINICOS PAZOS,-50.340466,-72.26351
LABORATORIO DE ANALISIS CLINICOS - IMAG EL CALAFATE,-50.340065,-72.27922999999998
GABINETE DE KINESIOLOGIA SANTA MARIA,-50.3399156,-72.2763997
SERVICIO DE RAYOS X DR. ROBERTO CASEROTTO,-50.338995,-72.27628400000003
CENTRO MEDICO TM SALUD,-50.338847,-72.27711699999998
LABORATORIO DE ANALISIS CLINICOS - BIOLAB,-50.337805,-72.27384
OPTICA WIND,-50.33686660000001,-72.2667884
CONSULTORIOS MEDICOS - CIMA,-50.33651,-72.26667199999997
CERIN,-50.3364908,-72.2620987
GABINETE DE KINESIOLOGIA SINERGIA CALAFATE,-50.335729,-72.26681000000002
CENTRO EDUCATIVO TERAPEUTICO,-50.3318883,-72.2595652
LABORATORIO CASTELLANOS,-50.017735,-68.52373999999998
GABINETE DE KINESIOLOGIA - LIC. MAGRA,-50.0160811,-68.52879129999997
GABINETE DE KINESIOLOGIA Y FISIOTERAPIA PEREZ DE EULATE,-49.992284,-68.9162
LABORATORIO DE ANALISIS CLINICOS - BIOQUIMICO MORICI,-49.986568,-68.91433999999998
SERVICIO MEDICO PRISMA SALUD,-49.313675,-67.71931000000001
SERVICIO MEDICO CERRO VANGUARDIA S.A.,-49.30721745093608,-67.72727966308594
LABORATORIO POMIGLIO - PALACIOS,-49.306378,-67.73160999999999
LABORATORIO DE ANALISIS CLINICOS - DARIO VILLAGRA,-49.3055471,-67.72977359999999
GABINETE DE KINESIOLOGIA Y FISIOTERAPIA FKT,-49.301749,-67.72525000000002
CENTRO DE TRATAMIENTO DE BULIMIA Y ANOREXIA A.A.P.T.A.,-49.298396,-67.73565000000002
GABINETE DE KINESIOLOGIA LIC FERNANDEZ,-48.751143,-70.24468999999999
